start	end	text
438140	445740	completely random weights, so you're just getting completely random outputs as well. But over time, as you train the GPT longer and longer,
446060	454920	you are getting more and more coherent and consistent sort of samples from the model. And the way you sample from it, of course, is you predict what comes
454920	463080	next, you sample from that distribution, and you keep feeding that back into the process, and you can basically sample large sequences. And so by the end, you see
463080	469680	that the transformer has learned about words and where to put spaces and where to put commas and so on. And so we're making more and more consistent
469680	476000	predictions over time. These are the kinds of plots that you're looking at when you're doing model pre-training. Effectively, we're looking at
476060	485060	a loss function over time as you train, and low loss means that our transformer is predicting the correct, is giving a higher probability to get the correct next
485060	494900	integer in a sequence. Now, what are we going to do with this model once we've trained it after a month? Well, the first thing that we noticed, we, the field, is that
494900	503540	these models basically, in the process of language modeling, learn very powerful general representations, and it's possible to very efficiently fine-tune them
503540	506040	for any arbitrary downstream task you might be interested in.
506060	517120	So as an example, if you're interested in sentiment classification, the approach used to be that you collect a bunch of positives and negatives, and then you train some kind of an NLP model for that.
517120	530740	But the new approach is, ignore sentiment classification, go off and do large language model pre-training, train the large transformer, and then you can only, you may only have a few examples, and you can very efficiently fine-tune your model for that task.
530740	535940	And so this works very well in practice, and the reason for this is that basically, the transformer is
535940	542260	forced to multitask a huge amount of tasks in the language modeling task, because just in terms of
542260	546680	predicting the next token, it's forced to understand a lot about the structure of the text
546680	552760	and all the different concepts therein. So that was GPT-1. Now, around the time of GPT-2, people
552760	557120	noticed that actually even better than fine-tuning, you can actually prompt these models very
557120	561080	effectively. So these are language models, and they want to complete documents. So you can actually
561080	566340	trick them into performing tasks just by arranging these fake documents. So in this example,
566500	571800	for example, we have some passage, and then we sort of like do QA, QA, QA. This is called a few-shot
571800	576040	prompt. And then we do Q. And then as the transformer is trying to complete the document,
576200	580560	it's actually answering our question. And so this is an example of prompt engineering a base model,
580900	584960	making it believe that it's sort of imitating a document and getting it to perform a task.
585680	590600	And so this picked off, I think, the era of, I would say, prompting over fine-tuning and seeing
590600	591060	that this actually works. And so this is an example of prompt engineering a base model,
591060	594540	actually can work extremely well on a lot of problems, even without training any neural
594540	600380	networks, fine-tuning, or so on. Now, since then, we've seen an entire evolutionary tree of base
600380	606880	models that everyone has trained. Not all of these models are available. For example, the GPT-4 base
606880	611480	model was never released. The GPT-4 model that you might be interacting with over API is not a base
611480	616900	model. It's an assistant model. And we're going to cover how to get those in a bit. GPT-3 base
616900	620020	model is available via the API under the name DaVinci.
620020	625300	And GPT-2 base model is available even as weights on our GitHub repo. But currently,
625420	630660	the best available base model probably is the Lama series from Meta, although it is not
630660	637100	commercially licensed. Now, one thing to point out is base models are not assistants. They don't
637100	644200	want to make answers to your questions. They just want to complete documents. So if you tell them,
644480	649540	write a poem about the bread and cheese, it will answer questions with more questions. It's just
649540	654280	completing what it thinks is a document. However, you can prompt them in a specific way for base
654280	660060	models that is more likely to work. So as an example, here's a poem about bread and cheese. And in
660060	666400	that case, it will autocomplete correctly. You can even trick base models into being assistants. And
666400	670860	the way you would do this is you would create like a specific few-shot prompt that makes it look like
670860	674680	there's some kind of a document between a human and assistant, and they're exchanging sort of
674680	679160	information. And then at the bottom, you sort of put your query at the end.
679540	686140	And the base model will sort of like condition itself into being like a helpful assistant and kind of
686140	690100	answer. But this is not very reliable and doesn't work super well in practice, although it can be
690100	696020	done. So instead, we have a different path to make actual GPT assistants, not just base model document
696020	700840	completers. And so that takes us into supervised fine-tuning. So in the supervised fine-tuning
700840	706660	stage, we are going to collect small but high-quality data sets. And in this case, we're going to ask
709540	714160	you to collect a set of the form prompt and ideal response. And we're going to collect lots of these,
714160	718480	typically tens of thousands or something like that. And then we're going to still do language
718480	722320	modeling on this data. So nothing changed algorithmically. We're just swapping out a
722320	728080	training set. So it used to be internet documents, which is a high-quantity, low-quality, for
728080	734740	basically a QA prompt response kind of data. And that is low-quantity, high-quality. So we
734740	739060	still do language modeling, and then after training, we get an SFD model. And you can
739540	744100	see these models, and they are actual assistants, and they work to some extent. Let me show you what
744100	747640	an example demonstration might look like. So here's something that a human contractor might
747640	752380	come up with. Here's some random prompt. Can you write a short introduction about the relevance of
752380	756700	the term monopsony or something like that? And then the contractor also writes out an ideal
756700	761260	response. And when they write out these responses, they are following extensive labeling documentations,
761260	767440	and they are being asked to be helpful, truthful, and harmless. And this is labeling instructions
767440	769520	here. You probably can't read it.
769540	774100	Neither can I. But they're long, and this is just people following instructions and trying to
774100	778360	complete these prompts. So that's what the data set looks like, and you can train these models,
778360	783760	and this works to some extent. Now, you can actually continue the pipeline from here on and
783760	789100	go into RLHF, reinforcement learning from human feedback, that consists of both reward modeling
789100	793300	and reinforcement learning. So let me cover that, and then I'll come back to why you may want to go
793300	798040	through the extra steps and how that compares to just SFD models. So in the reward modeling step,
799540	803860	we're now going to shift our data collection to be of the form of comparisons. So here's an example
803860	808180	of what our data set will look like. I have the same prompt, identical prompt on the top,
808180	814240	which is asking the assistant to write a program or a function that checks if a given string is
814240	819340	a palindrome. And then what we do is we take the SFD model, which we've already trained,
819340	823060	and we create multiple completions. So in this case, we have three completions that the model
823060	829120	has created. And then we ask people to rank these completions. So if you stare at this for a while,
829540	833680	these are very difficult things to do to compare some of these predictions. And this can take
833680	840400	people even hours for a single prompt completion pairs. But let's say we decided that one of these
840400	844900	is much better than the others and so on. So we rank them. Then we can follow that with something
844900	848680	that looks very much kind of like a binary classification on all the possible pairs
848680	854080	between these completions. So what we do now is we lay out our prompt in rows, and the prompts
854080	858940	is identical across all three rows here. So it's all the same prompt, but the completion does vary.
859540	863920	So the yellow tokens are coming from the SFD model. Then what we do is we append another
863920	870460	special reward readout token at the end. And we basically only supervise the transformer at this
870460	876640	single green token. And the transformer will predict some reward for how good that completion
876640	882580	is for that prompt. And so basically, it makes a guess about the quality of each completion. And
882580	886720	then once it makes a guess for every one of them, we also have the ground truth, which is telling
886720	889480	us the ranking of them. And so we can actually enforce that. And so we can actually enforce that,
889480	893620	some of these numbers should be much higher than others and so on. We formulate this into a loss
893620	898060	function, and we train our model to make reward predictions that are consistent with the ground
898060	902440	truth coming from the comparisons from all these contractors. So that's how we train our reward
902440	908320	model. And that allows us to score how good a completion is for a prompt. Once we have a reward
908320	913780	model, we can't deploy this because this is not very useful as an assistant by itself, but it's
913780	918400	very useful for the reinforcement learning stage that follows now. Because we have a reward model,
918400	919180	we can score
919480	924280	the quality of any arbitrary completion for any given prompt. So what we do during reinforcement
924280	929080	learning is we basically get, again, a large collection of prompts. And now we do reinforcement
929080	933940	learning with respect to the reward model. So here's what that looks like. We take a single
933940	939520	prompt, we lay it out in rows, and now we use basically the model we'd like to train,
939520	944680	which is initialized at SFT model, to create some completions in yellow. And then we append
944680	949420	the reward token again, and we read off the reward according to the reward model, which
949480	954820	is now kept fixed. It doesn't change anymore. And now the reward model tells us the quality of every
954820	959740	single completion for these prompts. And so what we can do is we can now just basically apply the
959740	965920	same language modeling loss function, but we're currently training on the yellow tokens, and we
965920	971740	are weighing the language modeling objective by the rewards indicated by the reward model. So as
971740	976960	an example, in the first row, the reward model said that this is a fairly high scoring completion,
976960	979260	and so all of the tokens that we happened to
979480	983640	on the first row are going to get reinforced and they're going to get higher probabilities
983640	988700	for the future. Conversely, on the second row, the reward model really did not like this completion,
988920	993940	negative 1.2. And so therefore, every single token that we sampled in that second row is going to
993940	998200	get a slightly higher probability for the future. And we do this over and over on many prompts,
998200	1004520	on many batches. And basically, we get a policy which creates yellow tokens here. And it basically,
1004720	1008540	all of them, all of the completions here will score high according to the reward model that
1008540	1014640	we trained in the previous stage. So that's how we train. That's what the RLHF pipeline is.
1015840	1019780	Now, and then at the end, you get a model that you could deploy. And so as an example,
1020160	1025040	ChatGPT is an RLHF model. But some other models that you might come across, like for example,
1025040	1031100	the Kuna 13b and so on, these are SFT models. So we have base models, SFT models, and RLHF models.
1031900	1036500	And that's kind of like the state of things there. Now, why would you want to do RLHF?
1036920	1038400	So one answer that is kind of...
1038540	1042440	not that exciting, is that it just works better. So this comes from the InstructGPT paper.
1042840	1047760	According to these experiments a while ago now, these PPO models are RLHF.
1047760	1051720	And we see that they are basically just preferred in a lot of comparisons
1052300	1054880	when we give them to humans. So humans just prefer out
1055460	1061800	basically tokens that come from RLHF models compared to SFT models, compared to base model that is prompted to be an assistant.
1061800	1065160	And so it just works better. But you might ask why?
1065800	1068380	Why does it work better? And I don't think that there's a single
1068540	1075440	like amazing answer that the community has really like agreed on, but I will just offer one reason, potentially.
1075440	1081800	And it has to do with the asymmetry between how easy computationally it is to compare versus generate.
1082300	1087920	So let's take an example of generating a haiku. Suppose I ask a model to write a haiku about paperclips.
1087920	1094160	If you're a contractor trying to give training data, then imagine being a contractor collecting basically data for the SFT stage.
1094160	1098380	How are you supposed to create a nice haiku for a paperclip? You might just not be very good at that.
1098540	1103660	But if I give you a few examples of haikus, you might be able to appreciate some of these haikus a lot more than others.
1103660	1106780	And so judging which one of these is good is a much easier task.
1106780	1113160	And so basically this asymmetry makes it so that comparisons are a better way to potentially
1113340	1117040	leverage yourself as a human and your judgment to create a slightly better model.
1117740	1123040	Now, RLHF models are not strictly an improvement on the base models in some cases.
1123360	1126580	So in particular, we've noticed, for example, that they lose some entropy.
1126580	1128420	So that means that they give more
1128540	1136120	peaky results. They can output lower variations, like they can output samples with lower variation than base model.
1136120	1140240	So base model has lots of entropy and will give lots of diverse outputs.
1140240	1153740	So, for example, one kind of place where I still prefer to use a base model is in a setup where you basically have n things and you want to generate more things like it.
1153740	1156700	And so here is an example that I just cooked up.
1156700	1158540	I want to generate cool Pokemon names.
1158540	1164160	I gave it seven Pokemon names, and I asked the base model to complete the document, and it gave me a lot more Pokemon names.
1164460	1168540	These are fictitious. I tried to look them up. I don't believe they're actual Pokemons.
1169420	1173260	And this is the kind of task that I think base model would be good at, because it still has lots of entropy.
1173260	1178100	It will give you lots of diverse, cool, kind of more things that look like whatever you give it before.
1180220	1184860	So this is what, this is number, having said all that, these are kind of like the assistant models
1184860	1186860	that are probably available to you at this point.
1187260	1188380	There's a team at Berkeley,
1188380	1193260	that ranked a lot of the available assistant models and gave them basically ELO ratings.
1193260	1199500	So currently some of the best models, of course, are GPT-4, by far, I would say, followed by Clawed, GPT-3.5,
1199500	1204140	and then a number of models, some of these might be available as weights, like the Kuna, Koala, etc.
1204700	1213100	And the first three rows here, they're all RLHF models, and all of the other models, to my knowledge, are SFT models, I believe.
1216060	1218300	Okay, so that's how we train these models.
1218300	1219340	On the high level.
1219340	1225580	Now I'm going to switch gears, and let's look at how we can best apply a GPT assistant model to your problems.
1226220	1229900	Now, I would like to work in a setting of a concrete example.
1229900	1233020	So let's work with a concrete example here.
1233020	1237980	Let's say that you are working on an article or a blog post, and you're going to write this sentence at the end.
1238620	1241020	California's population is 53 times that of Alaska.
1241020	1244060	So for some reason, you want to compare the populations of these two states.
1245180	1248060	Think about the rich internal monologue and tool use,
1248300	1253260	and how much work actually goes computationally in your brain to generate this one final sentence.
1253260	1255100	So here's maybe what that could look like in your brain.
1255740	1260380	Okay, for this next step, let me blog, or my blog, let me compare these two populations.
1261020	1264540	Okay, first I'm going to obviously need to get both of these populations.
1265180	1268940	Now, I know that I probably don't know these populations off the top of my head.
1268940	1272380	So I'm kind of like aware of what I know or don't know of my self-knowledge, right?
1273180	1278140	So I go, I do some tool use, and I go to Wikipedia, and I look up California's population.
1278300	1279260	And Alaska's population.
1280140	1282140	Now I know that I should divide the two.
1282140	1286780	But again, I know that dividing 39.2 by 0.74 is very unlikely to succeed.
1286780	1289580	That's not the kind of thing that I can do in my head.
1289580	1292300	And so therefore, I'm going to rely on the calculator.
1292300	1296140	So I'm going to use a calculator, punch it in, and see that the output is roughly 53.
1297180	1300700	And then maybe I do some reflection and sanity checks in my brain.
1300700	1302540	So does 53 make sense?
1302540	1306220	Well, that's quite a large fraction, but then California is the most populous state.
1306220	1307260	So maybe that looks okay.
1307260	1307420	Okay.
1307420	1307660	Okay.
1307660	1307740	Okay.
1307740	1308060	Okay.
1308060	1308140	Okay.
1308140	1308220	Okay.
1308220	1308300	Okay.
1308300	1309980	So then I have all the information I might need.
1309980	1312700	And now I get to the sort of creative portion of writing.
1312700	1317100	So I might start to write something like, California has 53x times greater.
1317100	1320220	And then I think to myself, that's actually like really awkward phrasing.
1320220	1322780	So let me actually delete that, and let me try again.
1323420	1328300	And so as I'm writing, I have this separate process almost inspecting what I'm writing
1328300	1330140	and judging whether it looks good or not.
1330940	1335100	And then maybe I delete, and maybe I reframe it, and then maybe I'm happy with what comes out.
1335740	1338060	So basically, long story short, a ton happens.
1338060	1340380	So I'm writing this sentence under the hood in terms of your internal monologue when you
1340380	1341420	create sentences like this.
1341980	1345980	But what does a sentence like this look like when we are training a GPT on it?
1347340	1349900	From GPT's perspective, this is just a sequence of tokens.
1350620	1355180	So a GPT, when it's reading or generating these tokens, it just goes chunk, chunk,
1355180	1356220	chunk, chunk, chunk.
1356220	1359820	And each chunk is roughly the same amount of computational work for each token.
1360380	1363260	And these transformers are not very shallow networks.
1363260	1365340	They have about 80 layers of reasoning.
1365340	1366940	But 80 is still not like too much.
1367500	1371340	And so this transformer is going to do its best to imitate.
1371340	1375260	But of course, the process here looks very, very different from the process that you took.
1376460	1381020	So in particular, in our final artifacts, in the data sets that we create and then eventually feed
1381020	1384220	to LLMs, all of that internal dialogue is completely stripped.
1384780	1390380	And unlike you, the GPT will look at every single token and spend the same amount of
1390380	1392060	compute on every one of them.
1392060	1396140	And so you can't expect it to actually like, well, you can't expect it to do,
1396940	1398540	sort of do too much work per token.
1399660	1403740	And also in particular, basically these transformers are just like token simulators.
1403740	1405660	So they don't know what they don't know.
1405660	1407900	Like they just imitate the next token.
1407900	1409660	They don't know what they're good at or not good at.
1409660	1411660	They just tried their best to imitate the next token.
1412300	1413980	They don't reflect in the loop.
1413980	1415420	They don't sanity check anything.
1415420	1417900	They don't correct their mistakes along the way by default.
1417900	1419980	They just sample token sequences.
1420860	1423660	They don't have separate inner monologue streams in their head, right?
1423660	1424940	They're evaluating what's happening.
1425580	1426540	Now, they do have some.
1426540	1431260	A sort of cognitive advantages, I would say, and that is that they do actually have very
1431260	1435980	large fact based knowledge across a vast number of areas because they have, say, several 10
1435980	1436860	billion parameters.
1436860	1439020	So that's a lot of storage for a lot of facts.
1439900	1444620	But and they also, I think, have a relatively large and perfect working memory.
1444620	1449260	So whatever fixed into the whatever fits into the context window is immediately available
1449260	1452380	to the transformer through its internal self attention mechanism.
1452380	1456060	And so it's kind of like perfect memory, but it's got a finite size.
1456540	1460860	The transformer has a very direct access to it, and so it can like a losslessly remember
1460860	1463100	anything that is inside its context window.
1463980	1465820	So that's kind of how I would compare those two.
1465820	1470460	And the reason I bring all of this up is because I think to a large extent, prompting is just
1470460	1477340	making up for this sort of cognitive difference between these two kind of architectures like
1477340	1479500	our brains here and LLM brains.
1479500	1480780	You can look at it that way almost.
1481980	1485900	So here's one thing that people found, for example, works pretty well in practice, especially
1485900	1488140	if your tasks require reasoning.
1488140	1492220	You can't expect the transformer to make to do too much reasoning per token.
1492220	1495900	And so you have to really spread out the reasoning across more and more tokens.
1495900	1499420	So, for example, you can't give a transformer a very complicated question and expect it
1499420	1500780	to get the answer in a single token.
1500780	1502060	There's just not enough time for it.
1502700	1506300	These transformers need tokens to think, quote unquote, I like to say sometimes.
1506860	1508860	And so this is some of the things that work well.
1508860	1512380	You may, for example, have a few shot prompt that shows the transformer that it should
1512380	1515660	like show its work when it's answering the question when it's answering a question.
1515900	1520700	And if you give a few examples, the transformer will imitate that template and it will just
1520700	1523740	end up working out better in terms of its evaluation.
1524540	1528220	Additionally, you can elicit this kind of behavior from the transformer by saying, let's
1528220	1532860	think step by step, because this conditioned the transformer into sort of like showing
1532860	1533580	its work.
1533580	1537900	And because it kind of snaps into a mode of showing its work, it's going to do less
1537900	1539500	computational work per token.
1540060	1545180	And so it's more likely to succeed as a result because it's making slower reasoning over
1545180	1545580	time.
1546460	1547420	Here's another example.
1547420	1548860	This one is called self-consistency.
1549820	1554540	We saw that we had the ability to start writing and then if it didn't work out, I can try
1554540	1560540	again and I can try multiple times and and maybe select the one that worked best.
1560540	1564700	So in these kinds of approaches, you may sample not just once, but you may sample multiple
1564700	1569260	times and then have some process for finding the ones that are good and then keeping just
1569260	1571900	those samples or doing a majority vote or something like that.
1571900	1575580	So basically, these transformers in the process as they predict the next token.
1575900	1579900	Just like you, they can get unlucky and they could they could sample and not a very good
1579900	1583900	token and they can go down sort of like a blind alley in terms of reasoning.
1583900	1587180	And so unlike you, they cannot recover from that.
1587180	1590940	They are stuck with every single token they sample, and so they will continue the sequence
1590940	1594060	even if they even know that this sequence is not going to work out.
1594060	1599820	So give them the ability to look back, inspect or try to find, try to basically sample around
1599820	1599980	it.
1601180	1601980	Here's one technique.
1601980	1602620	Also, you could.
1603580	1604540	It turns out that actually, LLMs.
1604540	1605500	Like, they know they're going to be able to do it.
1605500	1605740	They know they're going to be able to do it.
1605740	1605820	They know they're going to be able to do it.
1605820	1607340	They know when they've screwed up.
1607340	1613580	So as an example, say you asked the model to generate a poem that does not rhyme, and
1613580	1615900	it might give you a poem, but it actually rhymes.
1615900	1619900	But it turns out that especially for the bigger models like GPT-4, you can just ask it, did
1619900	1621020	you meet the assignment?
1621020	1624780	And actually, GPT-4 knows very well that it did not meet the assignment.
1624780	1627100	It just kind of got unlucky in its sampling.
1627100	1629580	And so it will tell you, no, I didn't actually meet the assignment here.
1629580	1630300	Let me try again.
1630940	1635660	But without you prompting it, it doesn't even like it doesn't know it doesn't know
1635660	1637820	to revisit and and so on.
1637820	1639980	So you have to make up for that in your prompts.
1639980	1641900	You have to get it to check.
1641900	1644140	If you don't ask it to check, it's not going to check by itself.
1644140	1645260	It's just a token simulator.
1649020	1653420	I think more generally, a lot of these techniques fall into the bucket of what I would say recreating
1653420	1654540	our system, too.
1654540	1657820	So you might be familiar with the system one system to thinking for humans.
1657820	1661980	System one is a fast automatic process, and I think kind of corresponds to like an LLM
1661980	1665500	just sampling tokens and system two is the slower, the
1665500	1668460	deliberate planning sort of part of your brain.
1669260	1673180	And so this is a paper actually from just last week because this space is pretty quickly
1673180	1673740	evolving.
1673740	1678700	It's called Tree of Thought and in Tree of Thought, the authors of this paper proposed
1678700	1684140	maintaining multiple completions for any given prompt, and then they are also scoring them
1684140	1688060	along the way and keeping the ones that are going well, if that makes sense.
1688060	1693740	And so a lot of people are like really playing around with kind of prompt engineering to
1694780	1695260	basically.
1695260	1699020	Bring back some of these abilities that we sort of have in our brain for LLMs.
1699820	1702780	Now, one thing I would like to note here is that this is not just a prompt.
1702780	1707980	This is actually prompts that are together used with some Python glue code because you
1707980	1711180	don't you actually have to maintain multiple prompts and you also have to do some tree
1711180	1715340	search algorithm here to figure out which prompts to expand, etc.
1715340	1720220	So it's a symbiosis of Python glue code and individual prompts that are called in a while
1720220	1721500	loop or in a bigger algorithm.
1722380	1724540	I also think there's a really cool parallel here to AlphaGo.
1724540	1729660	AlphaGo has a policy for placing the next stone when it plays go, and this policy was
1729660	1731900	trained originally by imitating humans.
1732460	1737180	But in addition to this policy, it also does multi-color tree search, and basically it
1737180	1740620	will play out a number of possibilities in its head and evaluate all of them and only
1740620	1741820	keep the ones that work well.
1741820	1747020	And so I think this is kind of an equivalent of AlphaGo, but for text, if that makes sense.
1748780	1753100	So just like Tree of Thought, I think more generally people are starting to really explore
1753100	1757900	more general techniques of not just the simple question answer prompts, but something
1757900	1761980	that looks a lot more like Python glue code stringing together many prompts.
1761980	1767500	So on the right, I have an example from this paper called React, where they structure the
1767500	1774140	answer to a prompt as a sequence of thought, action, observation, thought, action, observation,
1774140	1777660	and it's a full rollout, a kind of a thinking process to answer the query.
1778300	1781500	And in these actions, the model is also allowed to tool use.
1782220	1782860	On the left.
1783100	1785340	I have an example of AutoGPT.
1785340	1792460	And now AutoGPT, by the way, is a project that I think got a lot of hype recently, but
1792460	1794860	I think I still find it kind of inspirationally interesting.
1795980	1800940	It's a project that allows an LLM to sort of keep a task list and continue to recursively
1800940	1802060	break down tasks.
1802060	1805420	And I don't think this currently works very well, and I would not advise people to use
1805420	1807020	it in practical applications.
1807020	1810060	I just think it's something to generally take inspiration from in terms of where this is
1810060	1811180	going, I think, over time.
1811180	1816220	So that's kind of like giving our model system to thinking.
1816220	1820940	The next thing that I find kind of interesting is this following sort of, I would say, almost
1820940	1825500	psychological quirk of LLMs is that LLMs don't want to succeed.
1826540	1827500	They want to imitate.
1828460	1830380	You want to succeed, and you should ask for it.
1831180	1836620	So what I mean by that is when Transformers are trained, they have training sets, and
1837500	1841180	there can be an entire spectrum of performance qualities in their training data.
1841180	1844780	So, for example, there could be some kind of a prompt for some physics question or something
1844780	1848380	like that, and there could be a student solution that is completely wrong, but there can also
1848380	1850460	be an expert answer that is extremely right.
1851020	1855980	And Transformers can't tell the difference between like, I mean, they know about low
1855980	1859740	quality solutions and high quality solutions, but by default, they want to imitate all of
1859740	1862300	it because they're just trained on language modeling.
1862300	1866060	And so at test time, you actually have to ask for a good performance.
1866060	1870300	So in this example, in this paper, they tried various prompts.
1871180	1874700	Let's think step by step was very powerful because it sort of like spread out the reasoning
1874700	1875660	over many tokens.
1875660	1879740	But what worked even better is let's work this out in a step by step way to be sure we
1879740	1880860	have the right answer.
1880860	1883740	And so it's kind of like conditioning on getting the right answer.
1883740	1887180	And this actually makes the Transformer work better because the Transformer doesn't have
1887180	1891100	to now hedge its probability mass on low quality solutions.
1891100	1892860	As ridiculous as that sounds.
